TBL_NM,PRD_DE,TBL_ID,ITM_NM,ITM_NM_ENG,ITM_ID,UNIT_NM,ORG_ID,UNIT_NM_ENG,C1_OBJ_NM,C1_OBJ_NM_ENG,DT,PRD_SE,C1,C1_NM,C1_NM_ENG,LST_CHN_DE
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,31.8,A,13102136288ACC_ITEM.8010200,국내총투자율,Gross domestic investment ratio,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,31.6,A,13102136288ACC_ITEM.8010201,(국내총고정투자율),(Gross domestic fixed investment ratio),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,4,A,13102136288ACC_ITEM.8010400,(가계순저축률),(Households net saving ratio),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,87.3,A,13102136288ACC_ITEM.901,수출입의 대 GNI 비율(명목),Ratio of exports and imports to GNI (current prices),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,44.7,A,13102136288ACC_ITEM.90101,총수출,Exports of goods and services,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,34.4,A,13102136288ACC_ITEM.9010101,(재화),(Goods),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,6.4,A,13102136288ACC_ITEM.9010102,(서비스),(Services),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,42.7,A,13102136288ACC_ITEM.90102,총수입,Imports of goods and services,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,32.6,A,13102136288ACC_ITEM.9010201,(재화),(Goods),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,7.9,A,13102136288ACC_ITEM.9010202,(서비스),(Services),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,2020＝100,301,2020＝100,계정항목별,ACCOUNT,107.042,A,13102136288ACC_ITEM.90103,GDP 디플레이터,GDP deflator,2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,%,301,%,계정항목별,ACCOUNT,1.9,A,13102136288ACC_ITEM.9010301,(등락률),(Increase rate),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,십억원,301,Bil.Won,계정항목별,ACCOUNT,2401189.4,A,13102136288ACC_ITEM.10101,국내총생산(명목 원화표시),Gross domestic product (current prices won),2024-07-30
주요지표(연간지표),2023,DT_200Y101,주요지표(연간지표),Main Annual Indicators (reference year 2020),13103136288999,억달러,301,Hund.M U$,계정항목별,ACCOUNT,18394.1,A,13102136288ACC_ITEM.1010101,국내총생산(명목 달러표시),Gross domestic product (current prices dollar),2024-07-30
